"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-20-1988",2020-07-07,"WW01663","pH","Standard units",6.88,NA,NA,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","pH","Standard units",6.84,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","pH","Standard units",6.91,NA,NA,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","pH","Standard units",6.84,NA,NA,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","pH","Standard units",6.51,NA,NA,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","pH","Standard units",6.85,NA,NA,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","pH","Standard units",6.63,NA,NA,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","pH","Standard units",6.85,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","TotalDissolvedSolids","mg/L",260,10,10,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","TotalDissolvedSolids","mg/L",180,10,10,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","TotalDissolvedSolids","mg/L",180,10,10,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","TotalDissolvedSolids","mg/L",220,10,10,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","TotalDissolvedSolids","mg/L",190,10,10,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","TotalDissolvedSolids","mg/L",230,10,10,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","TotalDissolvedSolids","mg/L",230,10,10,"not.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","TotalDissolvedSolids","mg/L",270,10,10,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","TotalDissolvedSolids","mg/L",160,10,10,"not.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","TotalDissolvedSolids","mg/L",300,10,10,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","TotalDissolvedSolids","mg/L",450,10,10,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","TotalDissolvedSolids","mg/L",170,10,10,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","TotalDissolvedSolids","mg/L",250,10,10,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","TotalDissolvedSolids","mg/L",220,10,10,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","TotalDissolvedSolids","mg/L",160,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-22-1988",2020-07-07,"WW01657","TotalOrganicCarbon","mg/L",1,0.5,0.5,"not.censored",4218563.1,908764.299999998
"MW-9-1996",2020-07-07,"WW01664","TotalOrganicCarbon","mg/L",0.9,0.5,0.5,"not.censored",4217256.3,909769.900000009
"MW-19-1988",2020-07-07,"WW01667","TotalOrganicCarbon","mg/L",0.6,0.5,0.5,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","TotalOrganicCarbon","mg/L",0.8,0.5,0.5,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","TotalOrganicCarbon","mg/L",1,0.5,0.5,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","TotalOrganicCarbon","mg/L",4.8,0.5,0.5,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","TotalOrganicCarbon","mg/L",0.9,NA,NA,"not.censored",4217256.3,909769.900000009
